10000000000.0, 0, 34000.0, 2004-08-12T13:52:00, 2004-08-12T21:52:00, 1762775.8, 3.2037809861803406, 4.463264492478967e-16, 1598.7515781326001
10000000000.0, 1, 36000.0, 2004-08-24T06:41:00, 2004-08-24T14:41:00, 631653.3, 3.7615325441919625, 4.463264492478967e-16, 5774.741445630762
10000000000.0, 2, 4000.0, 2004-10-26T14:26:00, 2004-10-26T22:26:00, 101926.1, 3.2827918727554333, 1.785305796991587e-15, 1917.749476011831
10000000000.0, 3, 86000.0, 2005-05-28T18:43:00, 2005-05-29T02:43:00, 3305735.5, 3.116328640312208, 8.926528984957934e-16, 1307.1596708191682
10000000000.0, 4, 28000.0, 2005-06-03T16:39:00, 2005-06-04T00:39:00, 530276.8, 3.7189528514414674, 4.463264492478967e-16, 5235.435957396081
10000000000.0, 5, 23000.0, 2005-06-13T17:38:00, 2005-06-14T01:38:00, 435631.0, 3.7016998295285113, 0.0, 5031.527254892009
10000000000.0, 6, 21000.0, 2005-07-04T19:29:00, 2005-07-05T03:29:00, 2457342.8, 2.7546259821472567, 4.463264492478967e-16, 568.3632410801404
10000000000.0, 7, 12000.0, 2005-07-18T16:32:00, 2005-07-19T00:32:00, 60298.7, 3.8336111787477942, 4.463264492478967e-16, 6817.280737729273
10000000000.0, 8, 4000.0, 2005-08-02T09:46:00, 2005-08-02T17:46:00, 3630.1, 3.54176014532338, 1.3389793477436902e-15, 3481.449863973835
10000000000.0, 9, 4000.0, 2005-08-18T18:37:00, 2005-08-19T02:37:00, 10000000000.0, nan, nan, nan
10000000000.0, 10, 55000.0, 2006-06-24T17:04:00, 2006-06-25T01:04:00, 2970352.5, 3.0168899009140655, 8.926528984957934e-16, 1039.6565664677128
10000000000.0, 11, 45000.0, 2006-06-27T19:22:00, 2006-06-28T03:22:00, 761214.6, 3.7807329224702175, 4.463264492478967e-16, 6035.773340287187
10000000000.0, 12, 10000.0, 2006-07-18T15:21:00, 2006-07-18T23:21:00, 3100639.3, 2.2391350833715866, 4.463264492478967e-16, 173.4343365688519
10000000000.0, 13, 7000.0, 2006-07-28T08:20:00, 2006-07-28T16:20:00, 2094753.2, 2.397769729225164, 0.0, 249.90199848461188
10000000000.0, 14, 10000.0, 2006-10-03T11:27:00, 2006-10-03T19:27:00, 10000000000.0, nan, nan, nan
10000000000.0, 15, 18600.0, 2007-05-27T22:33:00, 2007-05-28T06:33:00, 337651.8, 3.6884296393142932, 1.785305796991587e-15, 4880.110314599936
10000000000.0, 16, 50500.0, 2007-06-10T17:55:00, 2007-06-11T01:55:00, 1115504.7, 3.6471139610062693, 1.785305796991587e-15, 4437.2506429356135
10000000000.0, 17, 26750.0, 2007-06-15T09:04:00, 2007-06-15T17:04:00, 1510129.3, 3.198448160565013, 4.463264492478967e-16, 1579.240090951811
10000000000.0, 18, 4560.0, 2007-07-21T15:17:00, 2007-07-21T23:17:00, 10000000000.0, nan, nan, nan
10000000000.0, 19, 10000.0, 2008-06-16T16:38:00, 2008-06-17T00:38:00, 135450.6, 3.631955734258147, 1.3389793477436902e-15, 4285.04842542358
10000000000.0, 20, 60000.0, 2008-07-01T15:24:00, 2008-07-01T23:24:00, 10000000000.0, nan, nan, nan
10000000000.0, 21, 8000.0, 2008-08-31T16:20:00, 2008-09-01T00:20:00, 261558.6, 3.391656132783969, 0.0, 2464.0875407157614
10000000000.0, 23, 57000.0, 2009-08-09T15:49:00, 2009-08-09T23:49:00, 1870990.3, 3.388031205459429, 4.463264492478967e-16, 2443.606127368689
10000000000.0, 31, 10000.0, 2012-06-08T12:30:00, 2012-06-08T20:30:00, 2722628.5, 2.349959246424466, 0.0, 223.85110700221495
