idx,cycle_period,storm2drought_ratio,storm_onset_month,storm_onset_day,ratio
95.0,45.0,0.1,7.0,1.0,1.09843791180448
96.0,45.0,0.1,8.0,1.0,1.1207823697316122
97.0,45.0,0.1,9.0,1.0,1.0632376234397494
98.0,45.0,0.1,10.0,1.0,1.0129010525116044
99.0,45.0,0.2,2.0,1.0,0.9677183336949015
100.0,45.0,0.2,3.0,1.0,0.9939878164407748
101.0,45.0,0.2,4.0,1.0,1.0349169936469862
102.0,45.0,0.2,5.0,1.0,1.0747907605114995
103.0,45.0,0.2,6.0,1.0,1.0715095341676886
104.0,45.0,0.2,7.0,1.0,1.06164319760875
105.0,45.0,0.2,8.0,1.0,1.0950364379109407
106.0,45.0,0.2,9.0,1.0,1.0907045619866487
107.0,45.0,0.2,10.0,1.0,1.0801748483389024
108.0,45.0,0.3,2.0,1.0,0.8861014220624891
109.0,45.0,0.3,3.0,1.0,0.978544288637086
110.0,45.0,0.3,4.0,1.0,1.002761573361665
111.0,45.0,0.3,5.0,1.0,1.0273743150169836
112.0,45.0,0.3,6.0,1.0,1.0501257529841068
113.0,45.0,0.3,7.0,1.0,1.0547592893469113
114.0,45.0,0.3,8.0,1.0,1.0183011794220413
115.0,45.0,0.3,9.0,1.0,1.0722920386515975
116.0,45.0,0.3,10.0,1.0,1.014829539612624
117.0,45.0,0.4,2.0,1.0,0.8507977783092763
118.0,45.0,0.4,3.0,1.0,0.9643378030470403
119.0,45.0,0.4,4.0,1.0,0.973088305480121
120.0,45.0,0.4,5.0,1.0,0.9788694700891186
121.0,45.0,0.4,6.0,1.0,1.0380485094805103
122.0,45.0,0.4,7.0,1.0,1.0297797798216837
123.0,45.0,0.4,8.0,1.0,0.9882848131084874
124.0,45.0,0.4,9.0,1.0,1.0574530470469798
125.0,45.0,0.4,10.0,1.0,1.058453658309489
126.0,45.0,0.5,2.0,1.0,0.857843876238303
127.0,45.0,0.5,3.0,1.0,0.9567939367254775
128.0,45.0,0.5,4.0,1.0,0.928089349591163
129.0,45.0,0.5,5.0,1.0,0.968366595096044
130.0,45.0,0.5,6.0,1.0,1.017905969375744
131.0,45.0,0.5,7.0,1.0,0.9884855405716975
132.0,45.0,0.5,8.0,1.0,0.967954119686194
133.0,45.0,0.5,9.0,1.0,1.0464468182710178
134.0,45.0,0.5,10.0,1.0,1.0533495702723903
135.0,60.0,0.1,2.0,1.0,1.0735285867963946
136.0,60.0,0.1,3.0,1.0,1.0914881927438405
137.0,60.0,0.1,4.0,1.0,1.10902949375419
138.0,60.0,0.1,5.0,1.0,1.0934914033782588
139.0,60.0,0.1,6.0,1.0,1.1273631677714773
140.0,60.0,0.1,7.0,1.0,1.1095495856427315
141.0,60.0,0.1,8.0,1.0,1.11343068350295
142.0,60.0,0.1,9.0,1.0,1.1018814152196164
143.0,60.0,0.1,10.0,1.0,1.0451804631319577
144.0,60.0,0.2,2.0,1.0,0.9497952066654108
145.0,60.0,0.2,3.0,1.0,1.0569744249663964
146.0,60.0,0.2,4.0,1.0,1.011891045547438
147.0,60.0,0.2,5.0,1.0,1.0941295389474168
148.0,60.0,0.2,6.0,1.0,1.058468511831007
149.0,60.0,0.2,7.0,1.0,1.113766466764536
150.0,60.0,0.2,8.0,1.0,1.0886891648029604
151.0,60.0,0.2,9.0,1.0,1.1110574155183879
152.0,60.0,0.2,10.0,1.0,1.0365719448695532
153.0,60.0,0.3,2.0,1.0,0.9242505707293447
154.0,60.0,0.3,3.0,1.0,1.0202560816278379
155.0,60.0,0.3,4.0,1.0,0.9951966115475316
156.0,60.0,0.3,5.0,1.0,1.085943965147908
157.0,60.0,0.3,6.0,1.0,1.0399070171036098
158.0,60.0,0.3,7.0,1.0,1.0989547572479188
159.0,60.0,0.3,8.0,1.0,1.0524212524388832
160.0,60.0,0.3,9.0,1.0,1.1222043131731398
161.0,60.0,0.3,10.0,1.0,1.0697429693601068
162.0,60.0,0.4,2.0,1.0,0.8898124094833897
163.0,60.0,0.4,3.0,1.0,1.0116797599430987
164.0,60.0,0.4,4.0,1.0,0.9442071001297642
165.0,60.0,0.4,5.0,1.0,1.0633036132733689
166.0,60.0,0.4,6.0,1.0,0.9859080249173061
167.0,60.0,0.4,7.0,1.0,1.0728108483115175
168.0,60.0,0.4,8.0,1.0,1.0012961241907683
169.0,60.0,0.4,9.0,1.0,1.1211314890523754
170.0,60.0,0.4,10.0,1.0,1.017321629595442
171.0,60.0,0.5,2.0,1.0,0.8658528992754607
172.0,60.0,0.5,3.0,1.0,0.9946535910393051
173.0,60.0,0.5,4.0,1.0,0.9221310889815327
174.0,60.0,0.5,5.0,1.0,1.0417150093742924
175.0,60.0,0.5,6.0,1.0,0.9674343783676599
176.0,60.0,0.5,7.0,1.0,1.0462260587495056
177.0,60.0,0.5,8.0,1.0,0.9670495590796719
178.0,60.0,0.5,9.0,1.0,1.0902428760678886
179.0,60.0,0.5,10.0,1.0,0.9775784168289384
180.0,75.0,0.1,2.0,1.0,1.0301321216606771
181.0,75.0,0.1,3.0,1.0,1.0706692058060174
182.0,75.0,0.1,4.0,1.0,1.1209558971219327
183.0,75.0,0.1,5.0,1.0,1.1047188798122027
184.0,75.0,0.1,6.0,1.0,1.1610897978703982
185.0,75.0,0.1,7.0,1.0,1.1112994386896808
186.0,75.0,0.1,8.0,1.0,1.1301061465200521
187.0,75.0,0.1,9.0,1.0,1.0790147655328068
188.0,75.0,0.1,10.0,1.0,0.9747645590296765
189.0,75.0,0.2,2.0,1.0,0.9391604150091197
190.0,75.0,0.2,3.0,1.0,1.0428007265869126
191.0,75.0,0.2,4.0,1.0,1.0210801584151965
192.0,75.0,0.2,5.0,1.0,1.0047941851765523
193.0,75.0,0.2,6.0,1.0,1.127414560684996
194.0,75.0,0.2,7.0,1.0,1.069792924279915
195.0,75.0,0.2,8.0,1.0,1.1286206084445198
196.0,75.0,0.2,9.0,1.0,1.0973976370001761
197.0,75.0,0.2,10.0,1.0,1.0079348443337153
198.0,75.0,0.3,2.0,1.0,0.9049749475234612
199.0,75.0,0.3,3.0,1.0,1.0361649604805159
200.0,75.0,0.3,4.0,1.0,0.9625051172812146
201.0,75.0,0.3,5.0,1.0,0.9760611145147439
202.0,75.0,0.3,6.0,1.0,1.1132473410292727
203.0,75.0,0.3,7.0,1.0,0.9927683228276921
204.0,75.0,0.3,8.0,1.0,1.1175862387539248
205.0,75.0,0.3,9.0,1.0,1.0697363745370077
206.0,75.0,0.3,10.0,1.0,1.0031031527418253
207.0,75.0,0.4,2.0,1.0,0.8792558852284337
208.0,75.0,0.4,3.0,1.0,1.0294495470345806
209.0,75.0,0.4,4.0,1.0,0.9221168968142829
210.0,75.0,0.4,5.0,1.0,0.9672433703371044
211.0,75.0,0.4,6.0,1.0,1.0812438262572306
212.0,75.0,0.4,7.0,1.0,0.9630556819923547
213.0,75.0,0.4,8.0,1.0,1.1087427345361915
214.0,75.0,0.4,9.0,1.0,1.0341785685477398
215.0,75.0,0.4,10.0,1.0,1.0117714609091373
216.0,75.0,0.5,2.0,1.0,0.8665882406562626
217.0,75.0,0.5,3.0,1.0,1.018992653059749
218.0,75.0,0.5,4.0,1.0,0.8851959253094654
219.0,75.0,0.5,5.0,1.0,0.97055181920173
220.0,75.0,0.5,6.0,1.0,1.046682594290305
221.0,75.0,0.5,7.0,1.0,0.9471293384390077
222.0,75.0,0.5,8.0,1.0,1.1072836455871884
223.0,75.0,0.5,9.0,1.0,0.9616622564556753
224.0,75.0,0.5,10.0,1.0,0.9947888573277446
225.0,90.0,0.1,2.0,1.0,1.0871291333413444
226.0,90.0,0.1,3.0,1.0,1.0505847793128695
227.0,90.0,0.1,4.0,1.0,1.0959570197110444
228.0,90.0,0.1,5.0,1.0,1.149788309598231
229.0,90.0,0.1,6.0,1.0,1.1016509440483055
230.0,90.0,0.1,7.0,1.0,1.129151599890593
231.0,90.0,0.1,8.0,1.0,1.1410768435780017
232.0,90.0,0.1,9.0,1.0,1.0275507373888872
233.0,90.0,0.1,10.0,1.0,0.9018851270081106
234.0,90.0,0.2,2.0,1.0,1.0548170793309628
235.0,90.0,0.2,3.0,1.0,0.9790091079403753
236.0,90.0,0.2,4.0,1.0,1.0575149015510241
237.0,90.0,0.2,5.0,1.0,1.1309423519381956
238.0,90.0,0.2,6.0,1.0,1.0467520658297593
239.0,90.0,0.2,7.0,1.0,1.125746388151325
240.0,90.0,0.2,8.0,1.0,1.1325904236335282
241.0,90.0,0.2,9.0,1.0,1.0248259296652604
242.0,90.0,0.2,10.0,1.0,1.1144743467390161
243.0,90.0,0.3,2.0,1.0,1.0104683787832631
244.0,90.0,0.3,3.0,1.0,0.9256404485275297
245.0,90.0,0.3,4.0,1.0,1.0488432661850653
246.0,90.0,0.3,5.0,1.0,1.1034304410422948
247.0,90.0,0.3,6.0,1.0,0.969762732252055
248.0,90.0,0.3,7.0,1.0,1.1025736292764132
249.0,90.0,0.3,8.0,1.0,1.0885729319741517
250.0,90.0,0.3,9.0,1.0,1.005053376107925
251.0,90.0,0.3,10.0,1.0,1.134072203301964
252.0,90.0,0.4,2.0,1.0,0.9360117768916841
253.0,90.0,0.4,3.0,1.0,0.8888238445706719
254.0,90.0,0.4,4.0,1.0,1.0486255474259583
255.0,90.0,0.4,5.0,1.0,1.0394097762244394
256.0,90.0,0.4,6.0,1.0,0.9437796493581228
257.0,90.0,0.4,7.0,1.0,1.1016268000862965
258.0,90.0,0.4,8.0,1.0,1.0080835236085244
259.0,90.0,0.4,9.0,1.0,0.974763340304221
260.0,90.0,0.4,10.0,1.0,1.1369368629073886
261.0,90.0,0.5,2.0,1.0,0.9031911352206764
262.0,90.0,0.5,3.0,1.0,0.870383445143725
263.0,90.0,0.5,4.0,1.0,1.0418129353062893
264.0,90.0,0.5,5.0,1.0,0.9835130218732224
265.0,90.0,0.5,6.0,1.0,0.9615475290553058
266.0,90.0,0.5,7.0,1.0,1.1019085324396891
267.0,90.0,0.5,8.0,1.0,0.9848289265047405
268.0,90.0,0.5,9.0,1.0,0.9821011481936979
269.0,90.0,0.5,10.0,1.0,1.13861716885672
270.0,105.0,0.1,2.0,1.0,0.9634971559367823
271.0,105.0,0.1,3.0,1.0,1.1037007680110382
272.0,105.0,0.1,4.0,1.0,1.109289225805294
273.0,105.0,0.1,5.0,1.0,1.08772000882021
274.0,105.0,0.1,6.0,1.0,1.1323822774631174
