day_of_year,mean_daily_total_precp_in_last30days
1.0,100.29042553191489
2.0,101.27127659574468
3.0,101.3904255319149
4.0,101.80744680851062
5.0,101.63510638297873
6.0,100.34893617021278
7.0,100.41702127659575
8.0,99.35957446808511
9.0,97.12446808510639
10.0,96.28085106382979
11.0,96.5276595744681
12.0,98.09148936170212
13.0,99.56489361702124
14.0,98.52340425531912
15.0,96.77021276595744
16.0,94.6042553191489
17.0,94.10106382978721
18.0,94.0808510638298
19.0,94.2531914893617
20.0,92.05531914893618
21.0,90.20957446808511
22.0,89.00851063829788
23.0,91.33723404255318
24.0,93.03085106382979
25.0,93.40425531914893
26.0,93.82872340425533
27.0,94.99787234042554
28.0,95.01063829787232
29.0,95.04468085106383
30.0,96.81578947368419
31.0,95.51052631578948
32.0,93.44526315789477
33.0,93.53473684210529
34.0,93.08842105263157
35.0,94.13789473684213
36.0,95.36105263157894
37.0,96.17157894736842
38.0,96.7757894736842
39.0,99.7421052631579
40.0,100.2
41.0,99.50631578947369
42.0,98.98315789473686
43.0,98.9842105263158
44.0,100.16526315789473
45.0,100.20526315789473
46.0,100.49999999999999
47.0,101.14947368421053
48.0,100.98842105263155
49.0,100.43473684210525
50.0,100.7957894736842
51.0,101.56
52.0,102.05684210526313
53.0,101.51578947368424
54.0,99.62631578947368
55.0,99.59789473684212
56.0,96.82105263157895
57.0,94.86315789473683
58.0,93.01052631578949
59.0,92.23578947368425
60.0,91.94842105263159
61.0,92.25368421052634
62.0,92.19894736842107
63.0,90.04315789473685
64.0,88.66947368421052
65.0,86.3178947368421
66.0,83.94526315789473
67.0,82.75157894736843
68.0,80.73684210526315
69.0,78.31263157894735
70.0,76.5894736842105
71.0,75.72842105263157
72.0,74.87473684210526
73.0,73.50842105263159
74.0,71.28315789473686
75.0,70.36315789473686
76.0,69.55578947368421
77.0,68.96315789473684
78.0,67.82105263157895
79.0,68.98315789473683
80.0,69.22105263157896
81.0,68.89578947368422
82.0,67.8863157894737
83.0,65.86736842105263
84.0,65.19052631578947
85.0,66.38210526315788
86.0,68.19368421052629
87.0,68.45052631578946
88.0,68.16315789473683
89.0,68.26526315789472
90.0,66.73368421052632
91.0,66.34526315789473
92.0,64.71684210526317
93.0,64.58947368421053
94.0,65.73894736842107
95.0,67.04421052631581
96.0,67.83368421052631
97.0,68.79473684210527
98.0,69.81684210526318
99.0,69.48210526315789
100.0,68.47473684210527
101.0,67.56631578947368
102.0,66.58842105263156
103.0,65.97999999999999
104.0,65.57894736842104
105.0,66.31263157894736
106.0,67.47894736842106
107.0,65.98947368421052
108.0,64.63263157894737
109.0,62.90421052631579
110.0,61.19368421052632
111.0,60.15684210526315
112.0,59.81368421052632
113.0,59.76736842105264
114.0,59.34736842105262
115.0,56.914736842105256
116.0,56.049473684210525
117.0,56.111578947368415
118.0,56.10105263157893
119.0,55.39052631578948
120.0,55.83999999999999
121.0,56.50105263157894
122.0,58.050526315789476
123.0,58.6178947368421
124.0,58.69368421052633
125.0,57.804210526315785
126.0,57.90631578947369
127.0,56.604210526315796
128.0,56.40210526315789
129.0,56.2442105263158
130.0,56.377894736842094
131.0,57.80947368421052
132.0,58.23157894736842
133.0,58.03473684210527
