month,SPI=-2.0,SPI=-1.5,SPI=-1.0,SPI=+1.0,SPI=+1.5,SPI=+2.0,SPI=+4.0
1.0,5.754988872582168,12.979959271327415,25.947590656805332,175.40453322590656,244.83113455200117,329.10057266606225,329.10057266606225
2.0,5.469583244451745,12.570902893045192,25.50287809852842,177.85681084393806,249.18795415821117,335.93389670725753,335.93389670725753
3.0,5.1322739002403965,12.036286818115501,24.80647879744459,178.83411640779875,251.5506459993521,340.15828634105026,340.15828634105026
4.0,5.519935788781271,12.671306575912059,25.68230117198025,178.75156885071146,250.3817199482448,337.4807574428757,337.4807574428757
5.0,5.10653727474386,12.003734868318148,24.784211511428868,179.3526474171824,252.39359926596674,341.4167679902464,341.4167679902464
6.0,4.9116935408773035,11.640354621474204,24.18750580770749,177.3828720973708,250.01570233248464,338.6118612909733,338.6118612909733
7.0,4.895398077312561,11.616232091389296,24.160905828743036,177.54881698342948,250.30975652354056,339.0729282067032,339.0729282067032
8.0,4.886779080970318,11.60255353111272,24.143450571466747,177.58944754335948,250.39516091918398,339.2179785356555,339.2179785356555
9.0,5.077727164750932,11.828440853177263,24.250286007294232,172.90627245388686,242.89357775459192,328.11911505878936,328.11911505878936
10.0,5.045317214248361,11.744447289355989,24.064493413257775,171.3781415631135,240.71288500948344,325.1377548448136,325.1377548448136
11.0,5.181031931150788,11.970603621132907,24.38519150831484,171.54363039117356,240.5925783412484,324.60724681910153,324.60724681910153
12.0,6.212334013214916,13.63433188284469,26.679464737805592,172.32206653060177,239.19730698872857,320.14138665293143,320.14138665293143
13.0,6.4403260063888315,14.042495305457994,27.33748156584617,174.64036241574314,242.087719244888,323.66808613375053,323.66808613375053
14.0,6.695848251733017,14.37811442813914,27.656987873211033,172.17869896813892,237.91489016500356,317.29624063825656,317.29624063825656
15.0,6.330640087520412,13.709721115610762,26.547531271084228,167.6598631199516,232.0827458049716,309.94872499407165,309.94872499407165
16.0,6.165616489102028,13.367954237102019,25.90947880754158,163.95320846731838,227.00709794851207,303.22788062014655,303.22788062014655
17.0,6.2320925409453185,13.445135111933284,25.95767889549828,162.88612812417486,225.29584178290676,300.698037120788,300.698037120788
18.0,6.495334313381471,13.834116635756455,26.440424318326052,162.33967711692702,223.9331238560586,298.2463439397002,298.2463439397002
19.0,6.067831400361842,13.205991179552749,25.671930746669176,163.4931323857057,226.548896210997,302.8026260085784,302.8026260085784
20.0,6.06499568658834,13.105694792226922,25.334296417910867,159.40692261768658,220.5577354394372,294.4516258653477,294.4516258653477
21.0,4.811886037702909,11.102227397337334,22.591630398019888,158.56247190880674,222.32532467944512,299.8974319203767,299.8974319203767
22.0,5.726511144690154,12.506967969228528,24.380087002258307,156.18594727299754,216.58097789410476,289.644135685063,289.644135685063
23.0,5.339995515200987,11.974336785456106,23.828923481172684,159.53742073001717,222.4237207524073,298.70938261162377,298.70938261162377
24.0,5.476055414239053,12.253586157795391,24.344437631061457,162.41807837949753,226.34342610924853,303.8727643924883,303.8727643924883
25.0,6.1163914074827765,13.241753512394654,25.635299624430683,161.81643754054713,223.97993127530995,299.112649630563,299.112649630563
26.0,5.547507405501022,12.396437102371657,24.601779179905925,163.75993781915852,228.14997653353615,306.2318754896575,306.2318754896575
27.0,7.05359030792322,14.689803898588654,27.584686921345796,162.99536364534003,223.7593399942173,296.89157889751283,296.89157889751283
28.0,7.567867858124407,15.423999821137409,28.47433731151063,162.09354945101296,221.47079412770222,292.7605249706165,292.7605249706165
29.0,7.898651982995526,15.889951539601723,29.0345342084331,161.57929455538292,220.12814117777768,290.3182337586321,290.3182337586321
30.0,9.487385683966037,18.14883126929847,31.864944524275856,162.21623575927154,218.44215369789904,285.4430094403296,285.4430094403296
31.0,10.003498783480438,18.75303016874677,32.40009795385728,159.03255566423397,213.11708931485276,277.40329592457806,277.40329592457806
32.0,9.394386195676322,17.831615892131875,31.114840173247547,156.19749895031143,209.94723546767892,273.9355565083312,273.9355565083312
33.0,9.737099252954522,18.287377771204913,31.642122723065345,155.83325542902753,208.92346392435437,272.042564417095,272.042564417095
