month,SPI=-2.0,SPI=-1.5,SPI=-1.0,SPI=+1.0,SPI=+1.5,SPI=+2.0,SPI=+4.0
1.0,9.915660349549867,18.81179561032575,32.812333328104955,164.57302793771345,221.1788207845085,288.56310027477497,288.56310027477497
2.0,3.2323455978655393,8.372675940289906,18.644445639621573,157.73226732550918,226.0254711779003,310.0214007994312,310.0214007994312
3.0,5.8237755874319035,11.693950215521001,21.335906203337824,118.34818560798644,161.16425658118774,212.48229491048002,212.48229491048002
4.0,8.078375759334984,13.710534832956023,21.869928642924084,89.1094062970578,116.37739634412983,148.3518070807328,148.3518070807328
5.0,17.943345183983215,25.649740395354574,35.50781969438879,101.22425251533069,125.18826317929167,152.46767823671718,152.46767823671718
6.0,21.89246632740173,30.384385192433907,41.02157221446626,109.29881053564111,133.67384249309345,161.2485952211286,161.2485952211286
7.0,24.857682951794747,33.15671373064048,43.26474726029601,104.87471726317715,126.21253276197412,150.1324652142377,150.1324652142377
8.0,28.40816296256172,37.6834426430517,48.93664384410345,117.02814647520839,140.50710010695536,166.79195077966241,166.79195077966241
9.0,10.790758930064328,16.96999209983565,25.43661669432518,89.02892742067509,113.70650192805655,142.2987766779675,142.2987766779675
10.0,7.069182692820467,13.141293158432504,22.55287938231159,109.01897741303992,145.79490580847906,189.46081502828397,189.46081502828397
11.0,5.393660275766345,11.72148802010249,22.75985552529961,144.58891281126964,200.2925665712132,267.64486379473544,267.64486379473544
12.0,5.658421859901091,12.886316365115402,25.956209782665393,178.30056550134168,249.3559705932254,335.6871279801092,335.6871279801092
